引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,急诊,急诊医学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,放疗科,放射治疗学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,神经科,神经外科学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,血管外科,血管外科、外科学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,康复科,康复医学与运动医学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,口腔科,口腔颌面外科学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,口腔科,口腔颌面内科学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,口腔科,口腔修复学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,麻醉科,麻醉学或疼痛学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,中医科,中医学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,中西结合,针推、骨伤,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,营养科,营养与食品卫生、临床医学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,病理科,病理学,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
,生物力学室,生物医学工程、生物力学 ,50岁以下,博士,,能够胜任所需岗位要求，具有一定的医教研能力，在专业领域发表具有一定影响力文章，具备较强的科研能力。,1,面议,面议,面议,刚性,不限,,022-60910632
天津市职业病防治院,眼科,眼科学,45岁以下,不限,副主任医师及以上,具有三级医院工作经历；良好的学术与职业道德；丰富的专业理论知识与临床实践技能；较高的学术水平和科研工作能力；较强的组织协调能力和学科建设能力。男性50岁以下。,1,面议,面议,面议,刚性,不限,河东区,人事科     022-24334221
,皮肤科,皮肤病,45岁以下,不限,,具有三级医院工作经历；良好的学术与职业道德；丰富的专业理论知识与临床实践技能；较高的学术水平和科研工作能力；较强的组织协调能力和学科建设能力。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-24334222
,口腔科,口腔医学,45岁以下,不限,,具有三级医院工作经历；良好的学术与职业道德；丰富的专业理论知识与临床实践技能；较高的学术水平和科研工作能力；较强的组织协调能力和学科建设能力。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-24334223
,外科,外科学,45岁以下,不限,,具有三级医院工作经历；具有良好的学术与职业道德；丰富的专业理论知识与临床实践技能；较高的学术水平和科研工作能力；较强的组织协调能力和学科建设能力。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-24334224
,肾内科,肾病学,45岁以下,不限,,具有良好的学术与职业道德；丰富的专业理论知识与临床实践技能；较高的学术水平和科研工作能力；较强的组织协调能力和学科建设能力。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-24334225
天津市安定医院,精神卫生医疗岗,精神病与精神卫生,35岁以下,硕士及以上        ,副主任医师及以上,有临床带教和科研能力，发表SCI文章，获科技进步奖者优先考虑。博士：副主任医师；硕士：副主任医师及以上；硕士生导师。,5,面议,面议,面议,刚性,不限,河西区,人事科     022-88188058
天津医学高等专科学校,护理专业教学岗,护理学,45岁以下,博士,高级职称,"三年及以上临床护理工作经历,有一定的教学能力。",1,面议,面议,面议,刚性,不限,河西区,人事科     022-60276653
,医学系教学岗,临床医学,45岁以下,博士,,三年及以上临床、教学工作经历，有一定的科研能力。,1,面议,面议,面议,刚性,不限,,022-60276654
,基础医学专业教学岗,基础医学,45岁以下,博士,,三年及以上临床、教学工作经历，有一定的科研能力。,1,面议,面议,面议,刚性,不限,,022-60276655
天津市第二人民医院,外科临床,普外偏肝胆外科,45岁以下,硕士及以上,主任医师,三级甲等医院技术骨干。男性50岁以下。,1,面议,面议,面议,刚性,不限,河北区,人事科     022-27468860
,放射科,医学影像,45岁以下,硕士及以上,,三级甲等医院技术骨干。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-27468860
,妇产科,妇产科,45岁以下,硕士及以上,,三级甲等医院技术骨干。男性50岁以下。,1,面议,面议,面议,刚性,不限,,022-27468860
天津市口腔医院,病理科,口腔病理,35岁以下,博士,中级及以上,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,1,面议,面议,面议,刚性,不限,和平区,人事科     022-27126510
,儿童口腔科,儿童口腔,35岁以下,博士,,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,1,面议,面议,面议,刚性,不限,,022-27126510
,口腔正畸科,口腔正畸,35岁以下,博士,,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,2,面议,面议,面议,刚性,不限,,022-27126510
,牙体牙髓病科,牙体牙髓病,35岁以下,博士,,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,2,面议,面议,面议,刚性,不限,,022-27126510
,牙周病科,牙周病,35岁以下,博士,,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,1,面议,面议,面议,刚性,不限,,022-27126510
,整形美容科,整形外科,35岁以下,博士,,取得博士学位，具有一定的临床、科研、教学经历和能力，综合素质优秀。,1,面议,面议,面议,刚性,不限,,022-27126510
天津市胸科医院,心血管内科,心血管内科,40岁以下,医学博士,副高及以上,重点院校毕业生、英语六级。临床和科研能力较强，并且具有组织协调能力；在学术团体兼职或在专业期刊杂志兼任编委人员重点考虑。,5,面议,面议,面议,刚性,不限,津南区,人事科     022-88185168
,胸外科,胸外科,40岁以下,医学博士,,重点院校毕业生、英语六级。临床和科研能力较强，并且具有组织协调能力；在学术团体兼职或在专业期刊杂志兼任编委人员重点考虑。,1,面议,面议,面议,刚性,不限,,022-88185168
,呼吸与危重症科,呼吸内科,40岁以下,医学博士,,重点院校毕业生、英语六级。临床和科研能力较强，并且具有组织协调能力；在学术团体兼职或在专业期刊杂志兼任编委人员重点考虑。,5,面议,面议,面议,刚性,不限,,022-88185168
,超声科,超声医学,40岁以下,医学博士,,重点院校毕业生、英语六级。临床和科研能力较强，并且具有组织协调能力；在学术团体兼职或在专业期刊杂志兼任编委人员重点考虑。,1,面议,面议,面议,刚性,不限,,022-88185168
,内分泌科,内分泌科,40岁以下,医学博士,,重点院校毕业生、英语六级。临床和科研能力较强，并且具有组织协调能力；在学术团体兼职或在专业期刊杂志兼任编委人员重点考虑。,1,面议,面议,面议,刚性,不限,,022-88185168
天津市人民医院,肛肠外科医师,外科,45岁以下,博士,高级,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,3,面议,面议,面议,刚性,不限,红桥区,人事科     022-87729596
,脊柱外科医师,外科或骨外科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,创伤骨科医师,手外科或骨科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,关节外科医师,骨关节或骨科学,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,血管科医师,外科学或血管外科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,心脏外科医师,心胸外科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,普通外科医师,外科学,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,泌尿外科医师,泌尿外科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,妇产科医师,妇产科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,神经内科医师,神经病学,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,消化内科医师,消化内科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,心脏内科医师,心血管,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,肿瘤科医师,肿瘤学,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,麻醉科医师,麻醉学,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,营养科医师或营养师,临床营养、营养与食品卫生,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,口腔科医师,口腔内科、正畸、修复、颌面外科、儿牙,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,1,面议,面议,面议,刚性,不限,,022-87729596
,眼科医师,眼科,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,2,面议,面议,面议,刚性,不限,,022-87729596
,影像学部诊断医师,影像诊断、超声诊断,45岁以下,博士,,三甲医院从事本专业工作6年以上；承担过省部级以上科研课题；具有国家人才称号（长江学者、突贡专家、政府特贴等），年龄可放宽。,4,面议,面议,面议,刚性,不限,,022-87729596
天津市眼科医院,临床眼科医生,玻璃体视网膜,45岁以下,不限,高级,有海外工作经历或正高职称，年龄不受限制。,2,面议,面议,面议,刚性,不限,河西区,人事科     022-27313336
,临床眼科医生,眼整形,48岁以下,不限,,有海外工作经历或正高职称，年龄不受限制。,2,面议,面议,面议,刚性,不限,,022-27313336
,临床眼科医生,眼外伤,48岁以下,不限,,有海外工作经历或正高职称，年龄不受限制。,2,面议,面议,面议,刚性,不限,,022-27313336
,临床眼科医生,青光眼,48岁以下,不限,,有海外工作经历或正高职称，年龄不受限制。,2,面议,面议,面议,刚性,不限,,022-27313336
天津市第一中心医院,普通外科技术骨干,普通外科学,45岁以下,博士,正高,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,南开区,人事科     022-23626131
,产科技术骨干,妇产科学,45岁以下,博士,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,神经外科技术骨干,神经外科学,45岁以下,博士,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,核医学科技术骨干,核医学科,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,皮肤科技术骨干,皮肤病与性病学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,康复医学科技术骨干,康复医学,45岁以下,硕士及以上,副高及以上,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,儿科技术骨干,儿科学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,心脏科技术骨干,心脏电生理方向,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,骨科技术骨干,脊柱外科、足踝外科、运动医学方向,45岁以下,博士,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,泌尿外科技术骨干,泌尿外科,45岁以下,博士,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,内眼专业技术骨干,内眼科,45岁以下,博士,,具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,口腔科技术骨干,口腔医学,45岁以下,博士,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,PET-CT中心技术骨干,影像医学（PET-CT方向）,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,肾科技术骨干,肾脏病学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,内分泌科技术骨干,内分泌科学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,神经内科技术骨干,神经病学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,胸外科技术骨干,心胸外科学,45岁以下,硕士及以上,,具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,呼吸科/感染科技术骨干,呼吸病学,45岁以下,硕士及以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,消化科技术骨干,消化病学,45岁以下,硕士以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,血管外科技术骨干,血管外科,45岁以下,硕士以上,,具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,超声科技术骨干,超声医学,45岁以下,硕士以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,放射科技术骨干,影像医学,45岁以下,硕士以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,营养科技术骨干,临床营养,45岁以下,硕士以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
,急诊科技术骨干,临床医学,45岁以下,硕士以上,,具有国内外著名大学和国内三甲医院工作经历；熟练掌握外科疾病临床诊断治疗并有深入研究；具有较强的创新精神和科研工作能力，具有独立负责高层次科研项目经历和创新性成果；对学科建设具有创新性构想，具有学科建设、团队构建及高层次人才培养的能力。,1,面议,面议,面议,刚性,不限,,022-23626131
天津市环湖医院,神经内科    学科带头人,神经病学,45岁以下,博士,高级,在三级甲等医院从事本专业工作10年及以上。临床经验丰富，学术造诣深，有较强的业务和学科建设及管理能力，在本专业领域有一定知名度和学术地位。博士生导师。有科主任任职经历者优先。特别优秀者条件可适当放宽。待遇面议。,1,面议,面议,面议,刚性,不限,河西区,人事科     022-60367616
,神经外科    学科带头人,神经病学,45岁以下,博士,高级,在三级甲等医院从事本专业工作10年及以上。临床经验丰富，学术造诣深，有较强的业务和学科建设及管理能力，在本专业领域有一定知名度和学术地位。博士生导师。有科主任任职经历者优先。特别优秀者条件可适当放宽。待遇面议。,1,面议,面议,面议,刚性,不限,,022-60367616
天津市南开医院,急诊科,急诊医学,50岁以下,博士,正高级,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,南开区,人事科     022-27435003
,呼吸内科,呼吸系病,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,消化内科,消化系病,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,心血管内科,心血管病,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,脑病科,神经病学,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,肾内科,肾病,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,泌尿外科,泌尿外科,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,重症医学科,重症医学,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,儿科,儿科学,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,放射科,影像医学与核医学,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
,病理科,病理学与病理生理学,50岁以下,博士,,硕士或博士生导师，有三甲医院工作经历，出国留学经历1年以上。,1,面议,面议,面议,刚性,不限,,022-27435003
天津市中医药研究院,妇科,妇科,45岁以下,硕士,副高及以上,三甲医院工作经历。熟练操作妇科手术。,1,面议,面议,面议,刚性,不限,和平区,人事科     022-27285108
,儿科,儿科,45岁以下,硕士,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,肺病科,内科,45岁以下,硕士,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,麻醉科,麻醉,45岁以下,不限,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,外科,外科,45岁以下,不限,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,耳鼻喉科,耳鼻喉,45岁以下,不限,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,口腔科,口腔,40岁以下,硕士,中级及以上,三甲医院工作经历。,2,面议,面议,面议,刚性,不限,,022-27285108
,肿瘤科,肿瘤,45岁以下,博士,,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,病理科,病理,45岁以下,硕士及以上,副高及以上,三甲医院工作经历。,1,面议,面议,面议,刚性,不限,,022-27285108
,心内科,心内科,45岁以下,硕士及以上,,三甲医院工作经历，有介入工作经验。,1,面议,面议,面议,刚性,不限,,022-27285108
,肾病科,肾病科,45岁以下,博士,正高,三甲医院工作经历。长江学者、名中医、131第一层次人才、国家千人计划人才。,1,面议,面议,面议,刚性,不限,,022-27285108
,皮肤科,皮肤科,45岁以下,博士,,三甲医院工作经历。长江学者、名中医、131第一层次人才、国家千人计划人才。,1,面议,面议,面议,刚性,不限,,022-27285108
,脾胃病科,消化内科,45岁以下,硕士,副高及以上,三甲医院工作经历。内镜方向。,1,面议,面议,面议,刚性,不限,,022-27285108
天津市第三中心医院,消化内科,消化内科,45岁以下,硕士以上,高级,擅长炎症性肠病以及胃肠肿瘤内镜治疗学科带头人。,1,面议,面议,面议,刚性,不限,河东区,人事科     022-84112196
,妇产科,妇产科,45岁以下,硕士以上,,妇科基础研究、生殖助孕、肿瘤等领域的学科带头人。,1,面议,面议,面议,刚性,不限,,022-84112196
,放射科,影像医学与核医学,45岁以下,硕士以上,,神经学组、心胸学组、腹部学组和肌骨学组专业带头人。,1,面议,面议,面议,刚性,不限,,022-84112196
,核医学,影像医学与核医学,45岁以下,硕士以上,,德才兼备，医、教、研全方面的学科带头人。,1,面议,面议,面议,刚性,不限,,022-84112196
,肝胆外科,肝胆外科,45岁以下,博士,中级及以上,有统计学基础的科研人才，撰写基金项目标书、临床科研设计。,1,面议,面议,面议,刚性,不限,,022-84112196
,普外科,普通外科,45岁以下,硕士以上,,有较强的科研能力，能够结合临床工作发表SCI文章。,1,面议,面议,面议,刚性,不限,,022-84112196
,超声科,超声,45岁以下,硕士以上,,有较强的科研能力，能够结合临床工作发表SCI文章，申请国家课题。,1,面议,面议,面议,刚性,不限,,022-84112196
,药剂科,药理学,45岁以下,博士,,开展围绕医院药学最新发展开展研究，如：药物基因组学的研究。,1,面议,面议,面议,刚性,不限,,022-84112196
天津市第一医院,肝病科,消化,50岁以下,硕士,主任医师,三级医院10年以上工作经历。业务能力较强，具有较强科研能力。,1,面议,无,无,刚性,不限,河北区,王芳   26296332
,麻醉科,麻醉,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
,妇产科,妇产,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
,B超室,影像诊断,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
,放射科,影像诊断,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
,骨科,骨科,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
,病理科,病理,50岁以下,硕士,,三级医院10年以上工作经历。临床经验丰富，具有较强行政管理能力。,1,面议,无,无,刚性,不限,,
天津市第二医院,骨科,骨科,40-45岁,硕士,正主任医师,具有15年以上临床工作经验，能作为学科带头人。,1,面议,面议,面议,刚性,国内,河北区,王芳   26296332
,外科,外科,40-45岁,硕士,,具有15年以上临床工作经验，能作为学科带头人。,1,面议,面议,面议,刚性,国内,,
